year,Cameroon,Cote d'Ivoire,Dominican Republic,Ecuador,Ghana,Indonesia,Nigeria,Togo,World,leaveout_production,leaveout_growth,world_growth,civ_ghana_share
1990,115000.0,807501.0,43157.0,96722.0,293355.0,142347.0,244000.0,6814.0,2532122.0,1431266.0,,,0.43475630321129866
1991,105000.0,764708.0,48860.0,90403.0,241796.0,174899.0,268000.0,4100.0,2521945.8,1515441.7999999998,0.057147646313801204,-0.004026939943956975,0.39909818839088457
1992,97835.0,813009.0,50376.0,93999.0,312122.0,207147.0,292000.0,6000.0,2677031.0,1551900.0,0.023772973084412286,0.05967759816663332,0.4202906129962634
1993,99000.0,803799.0,53980.0,82729.0,254652.0,258059.0,306000.0,7200.0,2672283.8,1613832.7999999998,0.03913198422975128,-0.0017748819890819334,0.39608480207079805
1994,107000.0,808662.0,62385.29,81163.0,288075.0,241701.0,323000.0,5500.0,2671268.8,1574531.7999999998,-0.024654012682304938,-0.0003798970790356293,0.4105678170613156
1995,134000.0,1120000.0,59397.9,85505.0,403900.0,278400.0,203000.0,6000.0,2985764.8,1461864.7999999998,-0.07424507725166762,0.11130236290256335,0.5103884940970569
1996,125726.0,1235300.0,62937.81,89928.0,403000.0,350800.0,323000.0,14200.0,3237670.8,1599370.7999999998,0.08989742091145558,0.08099825395820304,0.5060119144911213
1997,126807.0,1119110.0,52455.59,90870.0,322490.0,329700.0,318000.0,5800.0,3017083.0,1575483.0,-0.015048409971024412,-0.0705637118200233,0.4778125096326485
1998,125000.0,1201119.0,59291.48,35006.0,409360.0,456499.0,370000.0,12200.0,3302840.2,1692361.2000000002,0.07156282164710248,0.09049229440712026,0.4876042746482255
1999,116000.0,1163025.0,25861.38,94687.0,434200.0,367475.0,225000.0,7000.0,2975444.2,1378219.2000000002,-0.20533248252019476,-0.10438942620172398,0.5368022025081163
2000,122600.0,1401101.0,37107.09,64991.0,436600.0,421142.0,338000.0,6600.0,3338446.8,1500745.7999999998,0.08516995348663947,0.11511233011233735,0.5504658633469912
2001,122100.0,1212428.0,44908.01,76030.0,389591.0,536804.0,340000.0,10200.0,3222354.0,1620335.0,0.07667073344441988,-0.03539352052279554,0.4971579782978531
2002,125000.0,1264708.0,45468.0,60268.0,340562.0,619192.0,362000.0,7500.0,3298178.0,1692908.0,0.043814842279044086,0.02325804641953333,0.4867141797683448
2003,154965.0,1351546.0,46697.72,88263.0,497000.0,695361.0,385000.0,5100.0,3705144.8,1856598.7999999998,0.09229845137204684,0.11635214552027229,0.4989132948326338
2004,166754.0,1407213.0,47317.56,89680.0,737000.0,691704.0,412000.0,21700.0,4069753.2,1925540.2000000002,0.03646034010828636,0.09386001848971404,0.5268656094428527
2005,140000.0,1286330.0,31361.0,93658.0,740000.0,748827.0,441000.0,53000.0,4043867.8,2017537.7999999998,0.04667130529693253,-0.006380748576914286,0.5010871027979699
2006,164553.0,1408854.0,45912.23,87561.0,734000.0,769386.0,485000.0,73000.0,4299922.5,2157068.5,0.06687226692685044,0.06139538906293751,0.49834712137253634
2007,212619.0,1229908.0,42154.31,85891.0,614500.0,740006.0,360570.0,78000.0,3898909.8,2054501.7999999998,-0.048716738506257684,-0.0979000236853782,0.4730573659334207
2008,229203.0,1382441.0,45291.0,94300.0,680781.0,803593.0,367020.0,111000.0,4265984.0,2202762.0,0.06967864201912732,0.08997589386019378,0.483645039456313
2009,235500.0,1223153.0,54994.0,120581.0,710638.0,809583.0,363510.0,105000.0,4211455.0,2277664.0,0.033438328855378785,-0.012864675768987865,0.4591740859156752
2010,264077.0,1301347.0,58334.0,132099.0,632037.4,844626.0,399200.0,101500.0,4328769.5,2395385.1,0.05039365491540693,0.027475127801894317,0.44663602439446126
2011,240000.0,1511255.0,54279.0,163151.73,700020.0,712200.0,391000.0,142500.0,4553617.5,2342342.5,-0.022392514245551,0.05063865053014993,0.4856084201187298
2012,268941.0,1485882.0,72225.0,133322.98,879348.0,740500.0,383000.0,34500.0,4613754.5,2248524.5,-0.040877273688629145,0.013119978687877065,0.5126475628471345
2013,275000.0,1448992.0,68020.57,128446.0,835466.0,720900.0,367000.0,15000.0,4486395.5,2201937.5,-0.02093656871249827,-0.027992355320836992,0.5091967482581506
2014,269228.0,1637777.5,69913.3,156215.97,858720.0,728400.0,329870.0,22181.68,4742114.0,2245616.5,0.019642439130958422,0.05543343245729737,0.5264524429400053
2015,310000.0,1796000.0,75499.98,180192.38,858720.0,593331.0,302066.0,10000.0,4817236.0,2162516.0,-0.03770773510025727,0.015717291753730933,0.5510878022168729
2016,344752.0,1634000.0,81245.84,177551.3,858720.0,656817.0,298029.0,10000.0,4777619.0,2284899.0,0.05504946341589445,-0.008258014350232656,0.5217494320915921
2017,322247.8,2034000.0,86599.0,205955.0,969300.0,590684.0,250000.0,8500.0,5235269.5,2231969.5,-0.02343744250520352,0.09147601817068818,0.5736667424666486
2018,317530.3,2113189.0,85991.33,235182.0,904700.0,767280.0,270000.0,7500.0,5505867.0,2487978.0,0.1085859528429598,0.05039592754422628,0.5481223938028289
